track_id,wave,t_birth_s,t_last_s,n_frames,r_birth_gpx,r_birth_m_lo119,r_birth_m_hi125,r_min_gpx,r_min_m_lo119,r_min_m_hi125,at_frustum_boundary,G_MAX,N_MIN,H_GAP,basis
T01754,157,791.85,792.2,14,337.1,2.8328,2.6968,296.1,2.4882,2.3688,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01755,157,791.9333,792.15,9,312.34,2.6247,2.4987,312.34,2.6247,2.4987,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01756,157,791.9667,792.4833,32,1052.59,8.8453,8.4207,1045.47,8.7854,8.3637,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01757,157,791.9833,792.0667,6,511.8,4.3009,4.0944,491.16,4.1274,3.9292,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01758,157,791.9833,792.1167,7,180.07,1.5132,1.4406,180.07,1.5132,1.4406,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01759,157,792.05,792.4833,27,133.42,1.1212,1.0673,85.99,0.7226,0.6879,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01760,157,792.1167,792.2833,9,103.33,0.8683,0.8266,103.33,0.8683,0.8266,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01761,157,792.1167,792.4833,14,133.2,1.1194,1.0656,126.43,1.0624,1.0114,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01762,157,792.1167,792.7667,25,553.42,4.6506,4.4274,527.62,4.4338,4.2209,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01763,157,792.1667,792.3167,9,624.75,5.25,4.998,621.68,5.2242,4.9735,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01764,157,792.1667,792.65,18,235.42,1.9783,1.8834,235.42,1.9783,1.8834,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01765,157,792.1667,792.85,39,273.21,2.2959,2.1857,273.21,2.2959,2.1857,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01766,157,792.2833,792.8167,15,332.67,2.7955,2.6613,332.67,2.7955,2.6613,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01767,157,792.3333,792.4833,10,230.66,1.9383,1.8453,230.66,1.9383,1.8453,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01768,157,792.3333,792.9,26,573.27,4.8174,4.5862,340.28,2.8595,2.7222,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01769,157,792.3833,792.65,9,198.61,1.669,1.5888,150.6,1.2655,1.2048,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01770,157,792.45,792.7167,8,234.19,1.968,1.8736,179.1,1.505,1.4328,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01771,157,792.4667,792.95,30,306.3,2.574,2.4504,306.3,2.574,2.4504,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01772,157,792.5333,792.7667,8,133.6,1.1227,1.0688,55.89,0.4697,0.4471,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01773,157,792.5833,792.7333,10,1036.22,8.7077,8.2898,1008.51,8.4748,8.068,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01774,157,792.5833,792.95,18,302.88,2.5452,2.4231,257.93,2.1675,2.0634,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01775,157,792.5833,793.0667,15,303.33,2.549,2.4267,292.53,2.4582,2.3402,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01776,157,792.6167,792.7167,7,366.99,3.084,2.9359,366.99,3.084,2.9359,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01777,157,792.6167,792.7667,8,305.34,2.5659,2.4427,305.34,2.5659,2.4427,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01778,157,792.6667,793.1333,13,250.52,2.1052,2.0041,177.88,1.4948,1.4231,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01779,157,792.6667,793.2333,23,1066.84,8.9651,8.5347,1052.0,8.8404,8.416,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01780,157,792.7,792.8167,6,275.95,2.3189,2.2076,275.95,2.3189,2.2076,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01781,157,792.7,793.0167,10,71.29,0.5991,0.5703,22.95,0.1928,0.1836,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01782,157,792.7,793.2,16,255.62,2.1481,2.045,209.65,1.7617,1.6772,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01783,157,792.7333,793.6333,53,1013.45,8.5163,8.1076,768.98,6.462,6.1518,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01784,157,792.75,792.9,6,281.44,2.365,2.2515,267.18,2.2452,2.1375,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01785,157,792.75,792.9167,9,575.8,4.8387,4.6064,572.52,4.8111,4.5801,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01786,157,792.7833,793.15,21,573.89,4.8226,4.5911,558.33,4.6919,4.4667,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01787,157,792.8167,793.0333,6,299.84,2.5197,2.3987,276.59,2.3243,2.2127,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01788,157,792.8167,793.2,16,209.03,1.7566,1.6723,83.85,0.7046,0.6708,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01789,157,792.8167,793.7333,50,309.45,2.6004,2.4756,216.35,1.8181,1.7308,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01790,157,792.8333,792.95,6,262.41,2.2051,2.0993,262.41,2.2051,2.0993,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01791,157,792.8333,792.9667,8,359.69,3.0226,2.8775,359.69,3.0226,2.8775,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01792,157,792.8333,793.1833,11,170.31,1.4312,1.3625,131.28,1.1032,1.0502,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01793,157,792.8667,792.9667,7,398.2,3.3462,3.1856,356.36,2.9946,2.8509,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01794,157,792.9167,793.2667,12,258.34,2.1709,2.0667,218.49,1.836,1.7479,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01795,157,792.9167,793.4167,17,142.67,1.1989,1.1414,135.42,1.138,1.0834,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01796,157,792.9333,793.1333,10,126.28,1.0612,1.0102,92.2,0.7748,0.7376,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01797,157,792.9333,793.3,13,238.61,2.0052,1.9089,128.81,1.0824,1.0305,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01798,157,792.9833,793.2667,16,318.25,2.6744,2.546,237.04,1.9919,1.8963,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01799,157,793.0167,793.2667,9,111.47,0.9367,0.8918,105.81,0.8891,0.8464,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01800,157,793.0333,793.1333,7,240.3,2.0193,1.9224,226.44,1.9029,1.8115,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01801,157,793.0333,793.2,8,320.27,2.6913,2.5622,273.05,2.2945,2.1844,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01802,157,793.0667,793.2667,10,192.37,1.6166,1.539,133.17,1.1191,1.0654,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01803,157,793.0833,793.2667,9,42.37,0.356,0.339,10.31,0.0866,0.0825,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01804,157,793.0833,793.3667,13,328.65,2.7618,2.6292,328.65,2.7618,2.6292,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01805,157,793.0833,793.5833,22,503.37,4.23,4.0269,413.21,3.4724,3.3057,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01806,157,793.0833,793.7167,37,580.03,4.8742,4.6403,560.77,4.7124,4.4862,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01807,157,793.1667,793.2667,7,387.42,3.2556,3.0994,373.16,3.1358,2.9853,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01808,157,793.1667,793.3,8,20.64,0.1734,0.1651,13.63,0.1146,0.1091,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01809,157,793.1667,793.3,8,54.58,0.4587,0.4366,21.62,0.1817,0.173,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01810,157,793.1667,793.3,7,196.14,1.6482,1.5691,159.13,1.3372,1.2731,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01811,157,793.1667,793.4833,20,518.31,4.3555,4.1464,517.23,4.3464,4.1378,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01812,157,793.1667,793.6333,12,71.02,0.5968,0.5681,29.06,0.2442,0.2325,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01813,157,793.2,793.4667,15,189.88,1.5956,1.519,178.97,1.504,1.4318,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01814,157,793.2167,793.3,6,420.42,3.5329,3.3633,390.91,3.2849,3.1273,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01815,157,793.2167,793.3,6,509.22,4.2791,4.0737,447.47,3.7602,3.5797,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01816,157,793.25,793.35,7,224.94,1.8902,1.7995,224.94,1.8902,1.7995,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01817,157,793.25,793.3833,6,254.56,2.1392,2.0365,231.71,1.9471,1.8536,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01818,157,793.25,793.4667,11,521.48,4.3822,4.1718,520.56,4.3744,4.1645,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01819,157,793.3667,793.4833,6,277.19,2.3293,2.2175,264.63,2.2238,2.1171,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01820,157,793.3833,793.5667,7,274.32,2.3052,2.1946,257.36,2.1627,2.0589,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01821,157,793.3833,794.9,85,1052.0,8.8404,8.416,1032.13,8.6733,8.257,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01822,157,793.45,793.7333,6,208.08,1.7485,1.6646,208.08,1.7485,1.6646,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01823,157,793.4833,793.6667,9,219.15,1.8416,1.7532,211.32,1.7758,1.6906,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01824,157,793.5333,793.6667,6,129.41,1.0875,1.0353,121.06,1.0173,0.9685,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01825,157,793.5333,794.2833,21,180.22,1.5144,1.4418,26.38,0.2216,0.211,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01826,157,793.5833,793.7333,7,335.06,2.8157,2.6805,335.06,2.8157,2.6805,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01827,157,793.5833,793.8667,6,161.16,1.3542,1.2892,161.16,1.3542,1.2892,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01828,157,793.6333,793.8,8,213.37,1.793,1.707,185.23,1.5566,1.4819,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01829,157,793.65,793.7833,9,361.89,3.0411,2.8951,361.89,3.0411,2.8951,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01830,157,793.6833,793.7833,6,68.18,0.5729,0.5454,66.88,0.562,0.535,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01831,157,793.6833,793.7833,6,445.3,3.742,3.5624,430.5,3.6177,3.444,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01832,157,793.7,793.8,6,499.14,4.1944,3.9931,499.14,4.1944,3.9931,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01833,157,793.7,793.85,9,400.22,3.3632,3.2018,385.84,3.2423,3.0867,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01834,157,793.7,793.8833,8,217.13,1.8246,1.7371,195.43,1.6423,1.5635,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01835,157,793.7333,793.95,8,442.88,3.7217,3.5431,442.88,3.7217,3.5431,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01836,157,793.7333,793.95,11,443.04,3.723,3.5443,409.92,3.4447,3.2794,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01837,157,793.8167,794.15,19,136.06,1.1433,1.0885,75.09,0.631,0.6007,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01838,157,793.9,794.2,11,162.26,1.3636,1.2981,121.44,1.0205,0.9715,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01839,157,793.9167,794.2,6,47.08,0.3957,0.3767,47.08,0.3957,0.3767,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01840,157,793.9333,794.05,7,139.37,1.1712,1.115,127.39,1.0705,1.0192,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01841,157,793.9333,794.15,10,167.29,1.4058,1.3383,141.57,1.1897,1.1326,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01842,157,793.9333,794.1833,16,536.43,4.5078,4.2914,534.42,4.4909,4.2753,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01843,157,793.9333,794.1833,10,570.22,4.7918,4.5617,570.22,4.7918,4.5617,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01844,157,793.9333,794.2,14,42.21,0.3547,0.3376,42.21,0.3547,0.3376,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01845,157,793.9667,794.1833,6,859.58,7.2233,6.8766,810.54,6.8113,6.4843,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01846,157,794.0167,794.5,11,148.01,1.2438,1.1841,95.69,0.8042,0.7656,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01847,157,794.1167,794.5833,15,446.01,3.748,3.5681,401.37,3.3728,3.2109,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01848,157,794.1667,794.75,25,420.45,3.5332,3.3636,221.02,1.8573,1.7681,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01849,157,794.2833,796.7167,125,1120.14,9.413,8.9611,621.3,5.221,4.9704,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01850,157,794.2833,796.9167,143,984.25,8.271,7.874,607.58,5.1057,4.8607,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01851,157,794.3,794.4,7,482.91,4.058,3.8632,447.47,3.7602,3.5798,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01852,157,794.3167,794.5167,11,365.32,3.07,2.9226,357.26,3.0022,2.8581,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01853,157,794.3167,794.5333,6,35.51,0.2984,0.2841,18.86,0.1585,0.1509,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01854,157,794.3833,794.55,7,302.42,2.5413,2.4194,252.9,2.1252,2.0232,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01855,157,794.4333,794.5167,6,93.09,0.7823,0.7447,90.19,0.7579,0.7215,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01856,157,794.4333,794.6,11,368.16,3.0938,2.9453,266.74,2.2415,2.1339,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01857,157,794.4333,794.6,7,823.26,6.9182,6.5861,751.57,6.3157,6.0125,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01858,157,794.4667,795.7,46,242.03,2.0339,1.9363,86.05,0.7231,0.6884,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01859,157,794.5,794.7333,8,272.5,2.2899,2.18,227.26,1.9098,1.8181,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01860,157,794.5167,794.75,9,345.08,2.8999,2.7607,323.21,2.716,2.5857,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01861,157,794.5167,795.6333,32,45.94,0.3861,0.3675,36.19,0.3041,0.2895,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01862,157,794.5667,794.7667,6,74.91,0.6295,0.5993,50.86,0.4274,0.4069,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01863,157,794.5667,794.7833,8,148.74,1.25,1.19,148.74,1.25,1.19,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01864,157,794.5667,795.2333,15,170.37,1.4316,1.3629,90.52,0.7607,0.7242,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01865,157,794.6,794.6833,6,568.18,4.7746,4.5454,556.63,4.6775,4.453,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01866,157,794.6167,794.7333,6,168.72,1.4178,1.3497,149.04,1.2524,1.1923,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01867,157,794.6333,794.7833,9,223.61,1.879,1.7889,192.14,1.6146,1.5371,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01868,157,794.6333,794.8333,6,185.19,1.5562,1.4815,170.19,1.4302,1.3615,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01869,157,794.6333,795.45,25,159.18,1.3376,1.2734,118.0,0.9916,0.944,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01870,157,794.6667,795.05,10,39.33,0.3305,0.3146,16.06,0.135,0.1285,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01871,157,794.75,795.4667,16,323.57,2.7191,2.5886,240.97,2.025,1.9278,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01872,157,794.75,795.75,19,154.64,1.2995,1.2371,148.99,1.252,1.1919,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01873,157,794.75,795.7833,21,180.6,1.5177,1.4448,132.39,1.1125,1.0591,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01874,157,794.7833,795.1333,10,325.45,2.7349,2.6036,275.72,2.317,2.2058,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01875,157,794.85,795.2,10,138.03,1.16,1.1043,100.07,0.841,0.8006,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01876,157,794.9,795.8667,22,37.18,0.3125,0.2975,11.87,0.0997,0.0949,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01877,157,794.9667,795.2333,10,486.84,4.0911,3.8947,473.95,3.9828,3.7916,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01878,157,794.9833,795.5167,8,330.23,2.7751,2.6419,312.66,2.6274,2.5013,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01879,157,794.9833,795.55,12,299.33,2.5154,2.3946,249.0,2.0924,1.992,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01880,157,794.9833,795.6,13,329.58,2.7695,2.6366,235.96,1.9829,1.8877,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01881,157,795.0333,795.2167,6,297.77,2.5023,2.3822,285.03,2.3952,2.2803,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01882,157,795.0833,795.4333,6,109.94,0.9239,0.8795,109.94,0.9239,0.8795,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01883,157,795.1333,795.5,10,163.78,1.3763,1.3102,163.78,1.3763,1.3102,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01884,157,795.15,795.7667,13,165.83,1.3935,1.3266,164.65,1.3836,1.3172,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01885,157,795.4333,795.5333,6,41.08,0.3452,0.3286,41.08,0.3452,0.3286,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01886,157,795.4833,795.5833,6,213.62,1.7951,1.7089,213.62,1.7951,1.7089,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01887,157,795.5167,795.8,7,145.25,1.2206,1.162,118.75,0.9979,0.95,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01888,157,795.55,795.6333,6,32.86,0.2761,0.2629,32.86,0.2761,0.2629,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01889,157,795.5667,795.7,7,53.75,0.4517,0.43,8.62,0.0724,0.0689,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01890,157,795.7333,795.95,8,261.06,2.1938,2.0885,261.06,2.1938,2.0885,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01891,157,795.8667,798.8333,162,1059.13,8.9003,8.4731,1042.51,8.7606,8.3401,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01892,157,795.9333,796.15,8,393.28,3.3049,3.1462,290.26,2.4392,2.3221,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01893,157,796.0,796.2,8,60.72,0.5102,0.4857,58.69,0.4932,0.4695,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01894,157,796.0333,796.2,7,367.81,3.0908,2.9425,348.39,2.9277,2.7872,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01895,157,796.15,796.3167,11,572.03,4.807,4.5762,572.03,4.807,4.5762,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01896,157,796.2,796.4,10,389.81,3.2757,3.1185,356.87,2.9989,2.855,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01897,157,796.2667,796.4,9,71.38,0.5998,0.571,71.38,0.5998,0.571,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01898,157,796.7167,796.8167,6,361.32,3.0363,2.8905,360.7,3.0311,2.8856,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01899,157,797.05,797.7833,45,692.53,5.8196,5.5403,692.53,5.8196,5.5403,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01900,157,797.05,797.9167,48,430.17,3.6149,3.4414,337.31,2.8345,2.6985,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01901,157,797.0833,797.2667,6,166.97,1.4031,1.3358,166.97,1.4031,1.3358,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01902,157,797.0833,797.4167,10,228.15,1.9173,1.8252,228.15,1.9173,1.8252,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01903,157,797.15,797.4167,7,201.02,1.6892,1.6081,201.02,1.6892,1.6081,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01904,157,797.1833,797.4667,13,254.21,2.1362,2.0337,249.85,2.0996,1.9988,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01905,157,797.6167,797.7833,8,577.65,4.8542,4.6212,566.29,4.7588,4.5303,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01906,157,797.8,797.9167,8,372.57,3.1308,2.9805,80.19,0.6739,0.6415,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01907,157,797.85,798.5167,37,258.04,2.1684,2.0643,195.55,1.6433,1.5644,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01908,157,797.9333,798.05,8,28.63,0.2406,0.229,28.63,0.2406,0.229,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01909,157,798.0333,798.7333,42,570.26,4.7921,4.5621,566.31,4.7589,4.5305,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01910,157,798.3833,798.5167,9,59.01,0.4959,0.4721,58.05,0.4878,0.4644,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01911,157,798.3833,798.7,15,570.26,4.7921,4.5621,568.21,4.7749,4.5457,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01912,157,798.7333,798.9167,6,208.71,1.7539,1.6697,177.86,1.4947,1.4229,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01913,157,798.7833,799.1,8,166.71,1.4009,1.3337,115.65,0.9718,0.9252,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01914,157,798.8333,799.0667,7,144.05,1.2105,1.1524,98.92,0.8312,0.7913,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01915,157,798.8667,799.1833,9,196.82,1.6539,1.5745,162.15,1.3626,1.2972,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01916,157,799.25,799.5833,19,273.34,2.2969,2.1867,169.66,1.4257,1.3573,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01917,157,799.4667,800.15,42,1243.92,10.4531,9.9514,1218.87,10.2426,9.751,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01918,157,799.55,799.8167,14,431.16,3.6232,3.4493,416.15,3.4971,3.3292,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01919,157,799.5833,799.7833,7,207.06,1.74,1.6565,207.06,1.74,1.6565,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01920,158,799.8,800.1667,20,1058.56,8.8954,8.4685,1058.56,8.8954,8.4685,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01921,158,800.05,800.2,10,1381.44,11.6088,11.0515,1337.01,11.2354,10.6961,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01922,158,800.3,800.75,28,1058.56,8.8954,8.4685,1057.98,8.8906,8.4639,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01923,158,800.85,802.2,64,1126.49,9.4663,9.0119,36.07,0.3031,0.2885,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01924,158,800.9,801.0,7,1057.7,8.8882,8.4616,1057.7,8.8882,8.4616,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01925,158,801.0,801.5667,35,1182.42,9.9363,9.4593,321.71,2.7034,2.5737,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T01926,158,801.0167,801.4,24,1132.71,9.5185,9.0617,547.41,4.6001,4.3793,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
