==============================================================================================================
STEP 2 — full field dump for one representative (Zantarin) so we can see the shape
==============================================================================================================
owners=['base', 'gdx1', 'gdx2', 'sm_mod']  fields=1007
  spearRallyAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  spearRallyAnimWeight1                            = 100.0                                                                                      [sm_mod]
  spearRallyAnimWeight2                            = 100.0                                                                                      [sm_mod]
  spearRallyAnimWeight3                            = 100.0                                                                                      [sm_mod]
  spearRespawnAnimSpeed                            = 1.0                                                                                        [sm_mod]
  spearRunAnimSpeed                                = 1.0                                                                                        [sm_mod]
  spearSpawnAnimSpeed                              = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed10                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed11                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed12                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed13                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed14                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed15                          = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed4                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed5                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed6                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed7                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed8                           = 1.0                                                                                        [sm_mod]
  spearSpecialAnimSpeed9                           = 1.0                                                                                        [sm_mod]
  spearSpellAttackAnimSpeed                        = 1.0                                                                                        [sm_mod]
  spearStunAnimSpeed                               = 1.0                                                                                        [sm_mod]
  spearWaitingAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  spearWaitingAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  spearWaitingAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  spearWaitingAnimWeight1                          = 100.0                                                                                      [sm_mod]
  spearWaitingAnimWeight2                          = 100.0                                                                                      [sm_mod]
  spearWaitingAnimWeight3                          = 100.0                                                                                      [sm_mod]
  spearWalkAnimSpeed                               = 1.0                                                                                        [sm_mod]
  specialAttack2Chance                             = 100.0                                                                                      [sm_mod]
  specialAttack2Delay                              = 13.0                                                                                       [sm_mod]
  specialAttack2Range                              = MediumRange                                                                                [sm_mod]
  specialAttack2SkillName                          = records/skills/nonplayerskills/bossskills/nemesis/zantarin_vitalitynovabarrage.dbr         [sm_mod]
  specialAttack2Timeout                            = 0.0                                                                                        [sm_mod]
  specialAttack3Chance                             = 100.0                                                                                      [sm_mod]
  specialAttack3Delay                              = 18.0                                                                                       [sm_mod]
  specialAttack3Range                              = AnyRange                                                                                   [sm_mod]
  specialAttack3SkillName                          = records/skills/nonplayerskills/bossskills/nemesis/zantarin_curse1.dbr                      [sm_mod]
  specialAttack3Timeout                            = 5.0                                                                                        [sm_mod]
  specialAttack4Chance                             = 100.0                                                                                      [sm_mod]
  specialAttack4Delay                              = 20.0                                                                                       [sm_mod]
  specialAttack4Range                              = AnyRange                                                                                   [sm_mod]
  specialAttack4SkillName                          = records/skills/nonplayerskills/bossskills/nemesis/zantarin_summonrevenant.dbr              [sm_mod]
  specialAttack4Timeout                            = 2.0                                                                                        [sm_mod]
  specialAttackChance                              = 100.0                                                                                      [sm_mod]
  specialAttackDelay                               = 8.0                                                                                        [sm_mod]
  specialAttackRange                               = LongRange                                                                                  [sm_mod]
  specialAttackSkillName                           = records/skills/nonplayerskills/bossskills/nemesis/zantarin_vitalityburst.dbr               [sm_mod]
  specialAttackSound1Chance                        = 100.0                                                                                      [sm_mod]
  specialAttackSound2Chance                        = 100.0                                                                                      [sm_mod]
  specialAttackSound3Chance                        = 100.0                                                                                      [sm_mod]
  specialAttackSound4Chance                        = 100.0                                                                                      [sm_mod]
  specialAttackTimeout                             = 2.0                                                                                        [sm_mod]
  splashSound                                      = records/sounds/objects/loot/spak_itemdropwaterplunklg.dbr                                  [sm_mod]
  staffAlertAnimSpeed1                             = 1.0                                                                                        [sm_mod]
  staffAlertAnimSpeed2                             = 1.0                                                                                        [sm_mod]
  staffAlertAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  staffAlertAnimWeight1                            = 100.0                                                                                      [sm_mod]
  staffAlertAnimWeight2                            = 100.0                                                                                      [sm_mod]
  staffAlertAnimWeight3                            = 100.0                                                                                      [sm_mod]
  staffAttackAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  staffAttackAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  staffAttackAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  staffAttackAnimWeight1                           = 100.0                                                                                      [sm_mod]
  staffAttackAnimWeight2                           = 100.0                                                                                      [sm_mod]
  staffAttackAnimWeight3                           = 100.0                                                                                      [sm_mod]
  staffAttackIdleAnimSpeed                         = 1.0                                                                                        [sm_mod]
  staffAttackIdleAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  staffAttackIdleAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  staffAttackIdleAnimSpeed4                        = 1.0                                                                                        [sm_mod]
  staffAttackIdleAnimSpeed5                        = 1.0                                                                                        [sm_mod]
  staffAttackIdleAnimWeight2                       = 100.0                                                                                      [sm_mod]
  staffAttackIdleAnimWeight3                       = 100.0                                                                                      [sm_mod]
  staffAttackIdleAnimWeight4                       = 100.0                                                                                      [sm_mod]
  staffAttackIdleAnimWeight5                       = 100.0                                                                                      [sm_mod]
  staffBuffOtherAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  staffBuffOtherAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  staffBuffOtherAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  staffBuffOtherAnimWeight1                        = 100.0                                                                                      [sm_mod]
  staffBuffOtherAnimWeight2                        = 100.0                                                                                      [sm_mod]
  staffBuffOtherAnimWeight3                        = 100.0                                                                                      [sm_mod]
  staffBuffSelfAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  staffBuffSelfAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  staffBuffSelfAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  staffBuffSelfAnimWeight1                         = 100.0                                                                                      [sm_mod]
  staffBuffSelfAnimWeight2                         = 100.0                                                                                      [sm_mod]
  staffBuffSelfAnimWeight3                         = 100.0                                                                                      [sm_mod]
  staffChatAnimSpeed                               = 1.0                                                                                        [sm_mod]
  staffCriticalHitAnimSpeed                        = 1.0                                                                                        [sm_mod]
  staffDieAnimSpeed1                               = 1.0                                                                                        [sm_mod]
  staffDieAnimSpeed2                               = 1.0                                                                                        [sm_mod]
  staffDieAnimSpeed3                               = 1.0                                                                                        [sm_mod]
  staffDieAnimWeight1                              = 100.0                                                                                      [sm_mod]
  staffDieAnimWeight2                              = 100.0                                                                                      [sm_mod]
  staffDieAnimWeight3                              = 100.0                                                                                      [sm_mod]
  staffEmoteAnimSpeed1                             = 1.0                                                                                        [sm_mod]
  staffEmoteAnimSpeed2                             = 1.0                                                                                        [sm_mod]
  staffEmoteAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  staffEmoteAnimWeight1                            = 100.0                                                                                      [sm_mod]
  staffEmoteAnimWeight2                            = 100.0                                                                                      [sm_mod]
  staffEmoteAnimWeight3                            = 100.0                                                                                      [sm_mod]
  staffFidgetAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  staffFidgetAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  staffFidgetAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  staffFidgetAnimWeight1                           = 100.0                                                                                      [sm_mod]
  staffFidgetAnimWeight2                           = 100.0                                                                                      [sm_mod]
  staffFidgetAnimWeight3                           = 100.0                                                                                      [sm_mod]
  staffFleeAnimSpeed1                              = 1.0                                                                                        [sm_mod]
  staffFleeAnimSpeed2                              = 1.0                                                                                        [sm_mod]
  staffFleeAnimSpeed3                              = 1.0                                                                                        [sm_mod]
  staffFleeAnimWeight1                             = 100.0                                                                                      [sm_mod]
  staffFleeAnimWeight2                             = 100.0                                                                                      [sm_mod]
  staffFleeAnimWeight3                             = 100.0                                                                                      [sm_mod]
  staffIdleTranAnimSpeed                           = 1.0                                                                                        [sm_mod]
  staffLongIdleAnimSpeed                           = 1.0                                                                                        [sm_mod]
  staffPassItemAnimSpeed                           = 1.0                                                                                        [sm_mod]
  staffPickupAnimSpeed                             = 1.0                                                                                        [sm_mod]
  staffRallyAnimSpeed1                             = 1.0                                                                                        [sm_mod]
  staffRallyAnimSpeed2                             = 1.0                                                                                        [sm_mod]
  staffRallyAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  staffRallyAnimWeight1                            = 100.0                                                                                      [sm_mod]
  staffRallyAnimWeight2                            = 100.0                                                                                      [sm_mod]
  staffRallyAnimWeight3                            = 100.0                                                                                      [sm_mod]
  staffRespawnAnimSpeed                            = 1.0                                                                                        [sm_mod]
  staffRunAnimSpeed                                = 1.0                                                                                        [sm_mod]
  staffSpawnAnimSpeed                              = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed10                          = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed4                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed5                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed6                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed7                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed8                           = 1.0                                                                                        [sm_mod]
  staffSpecialAnimSpeed9                           = 1.0                                                                                        [sm_mod]
  staffSpellAttackAnimSpeed                        = 1.0                                                                                        [sm_mod]
  staffStunAnimSpeed                               = 1.0                                                                                        [sm_mod]
  staffWaitingAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  staffWaitingAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  staffWaitingAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  staffWaitingAnimWeight1                          = 100.0                                                                                      [sm_mod]
  staffWaitingAnimWeight2                          = 100.0                                                                                      [sm_mod]
  staffWaitingAnimWeight3                          = 100.0                                                                                      [sm_mod]
  staffWalkAnimSpeed                               = 1.0                                                                                        [sm_mod]
  startVisible                                     = True                                                                                       [sm_mod]
  stunResistanceInc                                = 0.0                                                                                        [sm_mod]
  stunSound                                        = records/sounds/enemies/vocalizations/spak_skeletonstun.dbr                                 [sm_mod]
  swipeSound                                       = records/sounds/enemies/combatbasic/spak_swipe_generic01.dbr                                [sm_mod]
  templateName                                     = database/templates/monster.tpl                                                             [sm_mod]
  triggerBoundingVolumes                           = False                                                                                      [sm_mod]
  unarmedAlertAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  unarmedAlertAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  unarmedAlertAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  unarmedAlertAnimWeight1                          = 100.0                                                                                      [sm_mod]
  unarmedAlertAnimWeight2                          = 100.0                                                                                      [sm_mod]
  unarmedAlertAnimWeight3                          = 100.0                                                                                      [sm_mod]
  unarmedAttTurnRight90AnimSpeed                   = 1.0                                                                                        [sm_mod]
  unarmedAttackAnimSpeed1                          = 1.25                                                                                       [sm_mod]
  unarmedAttackAnimSpeed2                          = 1.25                                                                                       [sm_mod]
  unarmedAttackAnimSpeed3                          = 1.25                                                                                       [sm_mod]
  unarmedAttackAnimWeight1                         = 100.0                                                                                      [sm_mod]
  unarmedAttackAnimWeight2                         = 100.0                                                                                      [sm_mod]
  unarmedAttackAnimWeight3                         = 100.0                                                                                      [sm_mod]
  unarmedAttackIdleAnimSpeed                       = 1.0                                                                                        [sm_mod]
  unarmedBuffOtherAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  unarmedBuffOtherAnimWeight1                      = 100.0                                                                                      [sm_mod]
  unarmedBuffSelfAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  unarmedBuffSelfAnimWeight1                       = 100.0                                                                                      [sm_mod]
  unarmedChannelAnimSpeed                          = 1.0                                                                                        [sm_mod]
  unarmedChannelEndAnimSpeed                       = 1.0                                                                                        [sm_mod]
  unarmedChannelStartAnimSpeed                     = 1.0                                                                                        [sm_mod]
  unarmedChatAnimSpeed                             = 1.0                                                                                        [sm_mod]
  unarmedCriticalHitAnimSpeed                      = 1.0                                                                                        [sm_mod]
  unarmedDieAnimSpeed1                             = 1.0                                                                                        [sm_mod]
  unarmedDieAnimSpeed2                             = 1.0                                                                                        [sm_mod]
  unarmedDieAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  unarmedDieAnimWeight1                            = 100.0                                                                                      [sm_mod]
  unarmedDieAnimWeight2                            = 100.0                                                                                      [sm_mod]
  unarmedDieAnimWeight3                            = 100.0                                                                                      [sm_mod]
  unarmedEmoteAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  unarmedEmoteAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  unarmedEmoteAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  unarmedEmoteAnimWeight1                          = 100.0                                                                                      [sm_mod]
  unarmedEmoteAnimWeight2                          = 100.0                                                                                      [sm_mod]
  unarmedEmoteAnimWeight3                          = 100.0                                                                                      [sm_mod]
  unarmedFidgetAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  unarmedFidgetAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  unarmedFidgetAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  unarmedFidgetAnimWeight1                         = 100.0                                                                                      [sm_mod]
  unarmedFidgetAnimWeight2                         = 100.0                                                                                      [sm_mod]
  unarmedFidgetAnimWeight3                         = 100.0                                                                                      [sm_mod]
  unarmedFleeAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  unarmedFleeAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  unarmedFleeAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  unarmedFleeAnimWeight1                           = 100.0                                                                                      [sm_mod]
  unarmedFleeAnimWeight2                           = 100.0                                                                                      [sm_mod]
  unarmedFleeAnimWeight3                           = 100.0                                                                                      [sm_mod]
  unarmedGetUpFaceDownAnimSpeed                    = 1.0                                                                                        [sm_mod]
  unarmedGetUpFaceUpAnimSpeed                      = 1.0                                                                                        [sm_mod]
  unarmedIdleTranAnimSpeed                         = 1.0                                                                                        [sm_mod]
  unarmedLongIdleAnimSpeed                         = 1.0                                                                                        [sm_mod]
  unarmedPassItemAnimSpeed                         = 1.0                                                                                        [sm_mod]
  unarmedPickupAnimSpeed                           = 1.0                                                                                        [sm_mod]
  unarmedRallyAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  unarmedRallyAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  unarmedRallyAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  unarmedRallyAnimWeight1                          = 100.0                                                                                      [sm_mod]
  unarmedRallyAnimWeight2                          = 100.0                                                                                      [sm_mod]
  unarmedRallyAnimWeight3                          = 100.0                                                                                      [sm_mod]
  unarmedRespawnAnimSpeed                          = 1.0                                                                                        [sm_mod]
  unarmedRunAnimSpeed                              = 1.0                                                                                        [sm_mod]
  unarmedSpawnAnimSpeed                            = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed10                        = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed4                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed5                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed6                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed7                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed8                         = 1.0                                                                                        [sm_mod]
  unarmedSpecialAnimSpeed9                         = 1.0                                                                                        [sm_mod]
  unarmedSpellAttackAnimSpeed                      = 1.0                                                                                        [sm_mod]
  unarmedStunAnimSpeed                             = 1.0                                                                                        [sm_mod]
  unarmedTakeHitAnimSpeed                          = 1.0                                                                                        [sm_mod]
  unarmedWaitingAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  unarmedWaitingAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  unarmedWaitingAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  unarmedWaitingAnimWeight1                        = 100.0                                                                                      [sm_mod]
  unarmedWaitingAnimWeight2                        = 100.0                                                                                      [sm_mod]
  unarmedWaitingAnimWeight3                        = 100.0                                                                                      [sm_mod]
  unarmedWalkAnimSpeed                             = 1.0                                                                                        [sm_mod]
  unloadedBoundingBoxExtents                       = 0.0                                                                                        [sm_mod]
  voiceSound1Chance                                = 100.0                                                                                      [sm_mod]
  voiceSound2Chance                                = 100.0                                                                                      [sm_mod]
  voiceSound3Chance                                = 100.0                                                                                      [sm_mod]
  voxSound                                         = records/sounds/enemies/vocalizations/spak_skeletonvox.dbr                                  [sm_mod]
  voxSoundChance                                   = 22.0                                                                                       [sm_mod]
  waitForCallbackToSpawn                           = False                                                                                      [sm_mod]
  waitingAnimDelay                                 = 5000                                                                                       [sm_mod]
  walkSpeed                                        = 1.0                                                                                        [sm_mod]

==============================================================================================================
STEP 3 — per-roster-record HP chain
==============================================================================================================

-- records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr  owners=['gdx1', 'sm1']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = charLevel*1+5
     characterAttackSpeed                           = 1.2000000476837158
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_aetherial_colossusgalakros.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterDexterityModifier                     = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeModifier                          = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = Race005
     characterRunSpeed                              = 1.100000023841858
     characterRunSpeedJitter                        = 0.0
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.5
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     characterStrengthModifier                      = 0.0
     defensiveLife                                  = 25.0
     healthGainOnKillDifficulty                     = 1
     healthGainOnKillPct                            = 20
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Quest
     monsterIconHeight                              = 5.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 1.7999999523162842
     skillLevel1                                    = (charLevel/30)+1
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
     skillLevel12                                   = charLevel/4+1
     skillLevel13                                   = charLevel/4+1
     skillLevel2                                    = charLevel*1
     skillLevel3                                    = charLevel*1
     skillLevel4                                    = 4
     skillLevel5                                    = charLevel/4+1
     skillLevel6                                    = 0
     skillLevel7                                    = charLevel/4+1
     skillLevel8                                    = charLevel/4+1
     skillLevel9                                    = charLevel/4+1

-- records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr  owners=['gdx2', 'sm2']
     LowerHealthDisplayPercentage                   = 0.0
     MonsterMusic                                   = records/sounds/soundpak_musicambient/bosspak_bossmusic.dbr
     MonsterMusicRadius                             = 50.0
     UpperHealthDisplayPercentage                   = 100.0
     charLevel                                      = charLevel*1
     characterAttackSpeed                           = 1.2000000476837158
     characterAttackSpeedModifier                   = 0.0
     characterAttributeEquations                    = records/creatures/enemies/bios/bio_boss_tombguardian.dbr
     characterBaseAttackSpeedTag                    = CharacterAttackSpeedAverage
     characterDefensiveAbility                      = 0.0
     characterDefensiveAbilityModifier              = 0.0
     characterDexterity                             = 0.0
     characterGenderProfile                         = Male
     characterIntelligence                          = 0.0
     characterIntelligenceModifier                  = 0.0
     characterLife                                  = 0.0
     characterLifeRegen                             = 0.0
     characterLifeRegenModifier                     = 0.0
     characterLightRadius                           = 0.0
     characterMana                                  = 0.0
     characterManaLimitReserve                      = 0.0
     characterManaLimitReserveModifier              = 0.0
     characterManaLimitReserveReduction             = 0.0
     characterManaLimitReserveReductionModifier     = 0.0
     characterManaModifier                          = 0.0
     characterManaRegen                             = 0.0
     characterManaRegenModifier                     = 0.0
     characterOffensiveAbility                      = 0.0
     characterOffensiveAbilityModifier              = 0.0
     characterRacialProfile                         = ['Race010', 'Race007']
     characterRunSpeed                              = 1.100000023841858
     characterRunSpeedModifier                      = 0.0
     characterSpellCastSpeed                        = 1.149999976158142
     characterSpellCastSpeedModifier                = 0.0
     characterStrength                              = 0.0
     defensiveLife                                  = 40.0
     healthGainOnKillDifficulty                     = 1
     healthGainOnKillPct                            = 20
     lifeTime                                       = 0
     maxLevel                                       = 250
     minLevel                                       = 1
     monsterClassification                          = Quest
     monsterIconHeight                              = 3.0
     ranged1hPassItemAnimSpeed                      = 1.0
     ranged1hPickupAnimSpeed                        = 1.0
     ranged2hPassItemAnimSpeed                      = 1.0
     ranged2hPickupAnimSpeed                        = 1.0
     scale                                          = 3.0
     skillLevel1                                    = (charLevel/30)+3
     skillLevel10                                   = charLevel/4+1
     skillLevel11                                   = charLevel/4+1
